"sampleID","antibodyID","antibody_count","counts_subsampled","count_scaled","treatment","uniquenr","treatment_uniquenr","sample_folder","well_name","plate_row","plate_column","Ab_name","Ab_barcode_nr"
"plate_3_209","ITGB1_98",23928,4102,0.713144517066086,"vehicle",53,"vehicle_53","plate_3",209,"E",11,"ITGB1",98
"plate_4_209","ITGB1_98",13483,3209,0.496974098281288,"AG1478",85,"AG1478_85","plate_4",209,"E",11,"ITGB1",98
"plate_5_209","ITGB1_98",14805,3949,0.676107480029049,"vehicle",54,"vehicle_54","plate_5",209,"E",11,"ITGB1",98
"plate_5_240","ITGB1_98",9074,3252,0.507383200193658,"vehicle",55,"vehicle_55","plate_5",240,"H",6,"ITGB1",98
"plate_4_223","ITGB1_98",9926,2217,0.25683853788429,"AG1478",86,"AG1478_86","plate_4",223,"G",1,"ITGB1",98
"plate_2_236","ITGB1_98",7685,2873,0.415637860082305,"AG1478",87,"AG1478_87","plate_2",236,"H",2,"ITGB1",98
"plate_4_236","ITGB1_98",2493,2043,0.214717985959816,"vehicle",56,"vehicle_56","plate_4",236,"H",2,"ITGB1",98
"plate_5_236","ITGB1_98",5295,2349,0.28879206003389,"AG1478",88,"AG1478_88","plate_5",236,"H",2,"ITGB1",98
"plate_1_159","ITGB1_98",17487,2838,0.40716533526991,"AG1478",89,"AG1478_89","plate_1",159,"A",9,"ITGB1",98
"plate_2_159","ITGB1_98",13807,4213,0.74001452432825,"vehicle",57,"vehicle_57","plate_2",159,"A",9,"ITGB1",98
"plate_5_159","ITGB1_98",5060,2503,0.326071169208424,"AG1478",90,"AG1478_90","plate_5",159,"A",9,"ITGB1",98
"plate_6_159","ITGB1_98",3364,2643,0.359961268458,"AG1478",91,"AG1478_91","plate_6",159,"A",9,"ITGB1",98
"plate_4_219","ITGB1_98",40472,3964,0.679738562091503,"vehicle",58,"vehicle_58","plate_4",219,"F",9,"ITGB1",98
"plate_5_219","ITGB1_98",47750,4021,0.693536673928831,"vehicle",59,"vehicle_59","plate_5",219,"F",9,"ITGB1",98
"plate_6_219","ITGB1_98",15560,4399,0.785039941902687,"vehicle",60,"vehicle_60","plate_6",219,"F",9,"ITGB1",98
