sample_id	ab_id	treatment	ab_count_raw	ab_count_subsampled	ab_count_clr	uniquenr	treatment_uniquenr	sample_folder	well_name	plate_row	plate_column	ab_name	ab_barcode	normfactor	lib_size	ab_count_tmm
plate_1_176	TGM1_79	AG1478	326	125	1.0728576343279306	71	AG1478_71	plate_1	176	C	2	TGM1	79	0.9034805981151497	22849	0.013926962946434602
plate_2_176	TGM1_79	AG1478	134	79	0.5639609605276199	72	AG1478_72	plate_2	176	C	2	TGM1	79	1.09316156677205	15616	0.009668148838849042
plate_3_176	TGM1_79	vehicle	51	19	-0.9300948272328388	41	vehicle_41	plate_3	176	C	2	TGM1	79	0.7544980970290309	32186	0.0032620797480286054
plate_5_176	TGM1_79	AG1478	118	41	-0.00339899622650285	73	AG1478_73	plate_5	176	C	2	TGM1	79	0.8929041955835842	25693	0.0037836882655135178
plate_1_231	TGM1_79	AG1478	383	137	0.969750162310704	74	AG1478_74	plate_1	231	G	9	TGM1	79	1.0022783504549824	29891	0.010919259974841212
plate_2_231	TGM1_79	AG1478	48	25	-0.619722976026106	75	AG1478_75	plate_2	231	G	9	TGM1	79	1.0104387354814457	17643	0.004511011746844221
plate_3_231	TGM1_79	vehicle	134	21	-0.9578648783604312	42	vehicle_42	plate_3	231	G	9	TGM1	79	0.9779641784536073	65709	0.0032471998913036508
plate_5_231	TGM1_79	vehicle	149	30	-0.436047867076839	43	vehicle_43	plate_5	231	G	9	TGM1	79	0.9799915881966074	44953	0.002022392212068619
plate_6_231	TGM1_79	vehicle	96	22	-0.6863709527792752	44	vehicle_44	plate_6	231	G	9	TGM1	79	0.9798447392338595	38055	0.002600529508699403
plate_1_205	TGM1_79	vehicle	129	38	-0.5940249155060746	45	vehicle_45	plate_1	205	E	7	TGM1	79	1.1459030726625665	40071	9.445527512012548e-4
plate_2_205	TGM1_79	AG1478	43	22	-0.44195321881233296	76	AG1478_76	plate_2	205	E	7	TGM1	79	0.931833575652132	14279	0.005050201941573048
plate_6_205	TGM1_79	vehicle	31	20	-1.0244016751613456	46	vehicle_46	plate_6	205	E	7	TGM1	79	1.0325854386892503	15958	0.0019072705618095847
plate_1_241	TGM1_79	AG1478	167	44	-0.2205075394382483	77	AG1478_77	plate_1	241	H	7	TGM1	79	1.1304518152619714	35253	0.002325689274057615
plate_4_241	TGM1_79	AG1478	112	31	-0.3962280852478477	78	AG1478_78	plate_4	241	H	7	TGM1	79	0.9968215972786195	30567	0.003894032197558354
plate_6_241	TGM1_79	AG1478	149	36	-0.34000834771278043	79	AG1478_79	plate_6	241	H	7	TGM1	79	1.0369727167014584	37939	0.0038133033315987754
plate_3_206	TGM1_79	vehicle	173	22	-0.5106984918963047	47	vehicle_47	plate_3	206	E	8	TGM1	79	0.8468583270876626	66302	0.004243076049987828
plate_5_206	TGM1_79	AG1478	98	44	-0.14033863167810523	80	AG1478_80	plate_5	206	E	8	TGM1	79	1.0383717943276438	21235	0.0030846255427774043
plate_3_216	TGM1_79	AG1478	120	24	-0.7023164248536462	81	AG1478_81	plate_3	216	F	6	TGM1	79	0.829881675209752	53311	0.0038743210392422544
plate_1_165	TGM1_79	vehicle	382	46	-0.2458437083000229	48	vehicle_48	plate_1	165	B	3	TGM1	79	0.9010847021945124	108236	0.002051916696182184
plate_5_165	TGM1_79	vehicle	347	24	-0.26492125925793797	49	vehicle_49	plate_5	165	B	3	TGM1	79	0.9702371778166762	90538	0.002590360219895009
plate_1_230	TGM1_79	vehicle	265	34	-0.33311028326003544	50	vehicle_50	plate_1	230	G	8	TGM1	79	0.8279641623769222	75822	0.0023563960577017568
plate_2_230	TGM1_79	AG1478	410	94	0.6878789267229717	82	AG1478_82	plate_2	230	G	8	TGM1	79	0.9549365898813216	39603	0.012659789360001644
plate_4_230	TGM1_79	AG1478	353	59	0.31017265515051573	83	AG1478_83	plate_4	230	G	8	TGM1	79	1.0299069570305863	48500	0.007285265061930033
plate_1_203	TGM1_79	vehicle	141	44	-0.18385434528980493	51	vehicle_51	plate_1	203	E	5	TGM1	79	0.9882686556514528	32264	0.00255723799391697
plate_2_203	TGM1_79	vehicle	65	19	-0.8822502474330784	52	vehicle_52	plate_2	203	E	5	TGM1	79	1.1395045636160608	26984	0.00393242423930635
plate_5_203	TGM1_79	AG1478	77	47	-0.3001687512141018	84	AG1478_84	plate_5	203	E	5	TGM1	79	1.0452626950746668	19261	0.0024647495544447987
plate_3_209	TGM1_79	vehicle	117	19	-0.8517044174149664	53	vehicle_53	plate_3	209	E	11	TGM1	79	0.9133690052432726	58358	0.0033569789404866036
plate_4_209	TGM1_79	AG1478	213	47	0.10844987544360318	85	AG1478_85	plate_4	209	E	11	TGM1	79	1.0132742173676685	38449	0.005685499696125401
plate_5_209	TGM1_79	vehicle	132	49	-0.39906598616892897	54	vehicle_54	plate_5	209	E	11	TGM1	79	1.018355422463667	37047	0.002138965071889369
plate_5_240	TGM1_79	vehicle	94	32	-0.6145307668313711	55	vehicle_55	plate_5	240	H	6	TGM1	79	1.2610563852449819	27951	0.0013069799243508207
plate_4_223	TGM1_79	AG1478	112	16	-0.6308222086693203	86	AG1478_86	plate_4	223	G	1	TGM1	79	1.0860292786347399	38856	0.0028723737785060705
plate_2_236	TGM1_79	AG1478	65	19	-0.6142511073874433	87	AG1478_87	plate_2	236	H	2	TGM1	79	0.8972277762644826	25572	0.004651488431299514
plate_4_236	TGM1_79	vehicle	53	44	-0.5511996296339752	56	vehicle_56	plate_4	236	H	2	TGM1	79	1.4795187527813445	12104	0.003177822399147761
plate_5_236	TGM1_79	AG1478	152	61	0.3295630010461421	88	AG1478_88	plate_5	236	H	2	TGM1	79	1.029916477855521	21131	0.005624424057056673
plate_1_159	TGM1_79	AG1478	661	108	0.8481434299122901	89	AG1478_89	plate_1	159	A	9	TGM1	79	0.9719759125381278	55862	0.01030905814887741
plate_2_159	TGM1_79	vehicle	65	17	-0.9020502661342328	57	vehicle_57	plate_2	159	A	9	TGM1	79	0.9953061622198365	32505	0.0038276153508976494
plate_5_159	TGM1_79	AG1478	91	49	-0.13799805182995417	90	AG1478_90	plate_5	159	A	9	TGM1	79	1.083977419540452	19498	0.0029457201619253843
plate_6_159	TGM1_79	AG1478	34	27	-0.53414473463077	91	AG1478_91	plate_6	159	A	9	TGM1	79	0.9739204177580079	11838	0.0029749899856988545
plate_4_219	TGM1_79	vehicle	351	35	-0.3661420088306144	58	vehicle_58	plate_4	219	F	9	TGM1	79	0.9382926719562572	97873	0.0040404008016897835
plate_5_219	TGM1_79	vehicle	397	24	-0.41521680287347174	59	vehicle_59	plate_5	219	F	9	TGM1	79	0.9650601541624559	117314	0.002146746244403172
plate_6_219	TGM1_79	vehicle	102	32	-0.4649829073000955	60	vehicle_60	plate_6	219	F	9	TGM1	79	0.9030374575666092	34664	0.003284459143318634
plate_1_212	TGM1_79	vehicle	243	43	-0.2311377387213529	61	vehicle_61	plate_1	212	F	2	TGM1	79	0.9876373159523845	60810	0.0021812388622776038
plate_2_212	TGM1_79	vehicle	196	34	-0.449693062882802	62	vehicle_62	plate_2	212	F	2	TGM1	79	0.9261927236628946	62486	0.005205155491882758
plate_4_212	TGM1_79	AG1478	188	58	0.15949527381590833	92	AG1478_92	plate_4	212	F	2	TGM1	79	0.9223382803708733	31301	0.006730192148869704
plate_2_238	TGM1_79	AG1478	97	20	-0.9283101385191266	93	AG1478_93	plate_2	238	H	4	TGM1	79	1.1155749980815124	45468	0.0037308413117016414
plate_4_238	TGM1_79	AG1478	86	30	-0.4748206145843064	94	AG1478_94	plate_4	238	H	4	TGM1	79	1.0976747145111263	24724	0.003387148871801211
plate_5_238	TGM1_79	vehicle	91	38	-0.3128992422064414	63	vehicle_63	plate_5	238	H	4	TGM1	79	1.0441083583725506	23621	0.0023299009232326286
plate_6_238	TGM1_79	AG1478	46	20	-0.5638929499176557	95	AG1478_95	plate_6	238	H	4	TGM1	79	0.9198431895443863	16886	0.002987511699727879
plate_2_232	TGM1_79	AG1478	75	21	-0.682845488293272	96	AG1478_96	plate_2	232	G	10	TGM1	79	0.9925763257612379	30259	0.004315631856089189
plate_3_232	TGM1_79	AG1478	94	34	-0.3400279449077024	97	AG1478_97	plate_3	232	G	10	TGM1	79	0.9782863631442258	26831	0.004743125819239234
plate_5_232	TGM1_79	AG1478	327	106	0.5828362336740218	98	AG1478_98	plate_5	232	G	10	TGM1	79	1.1231647374969236	33224	0.007403137014244704
plate_2_180	TGM1_79	vehicle	56	13	-1.2616752824523356	64	vehicle_64	plate_2	180	C	6	TGM1	79	0.8597821964213048	42012	0.0033688298930792063
