POPULATIONS	rloc	value	NOISE	CELLNUM	ETA	REPEAT	EDGES	MODELTYPE	POPULATIONS	NUMDIFFEDGES	THETA	RESIDUALS
wt_braf	C3G_Akt	0.0	0.0	250	0.003125	1	13	CNR	wt,braf	5	0.02	8.158731277865613e-05
wt_braf	Rap1_Akt	0.0	0.0	250	0.003125	1	13	CNR	wt,braf	5	0.02	8.158731277865613e-05
wt_braf	bRaf_Akt	0.0	0.0	250	0.003125	1	13	CNR	wt,braf	5	0.02	8.158731277865613e-05
wt_braf	Sos_C3G	0.0	0.0	250	0.003125	1	13	CNR	wt,braf	5	0.02	8.158731277865613e-05
wt_braf	Ras_C3G	0.0	0.0	250	0.003125	1	13	CNR	wt,braf	5	0.02	8.158731277865613e-05
wt_braf	Raf1_C3G	0.0	0.0	250	0.003125	1	13	CNR	wt,braf	5	0.02	8.158731277865613e-05
wt_braf	Mek_C3G	0.0	0.0	250	0.003125	1	13	CNR	wt,braf	5	0.02	8.158731277865613e-05
wt_braf	Erk_C3G	0.0	0.0	250	0.003125	1	13	CNR	wt,braf	5	0.02	8.158731277865613e-05
wt_braf	P90Rsk_C3G	0.0	0.0	250	0.003125	1	13	CNR	wt,braf	5	0.02	8.158731277865613e-05
wt_braf	PI3K_C3G	0.0	0.0	250	0.003125	1	13	CNR	wt,braf	5	0.02	8.158731277865613e-05
wt_braf	Akt_C3G	0.0	0.0	250	0.003125	1	13	CNR	wt,braf	5	0.02	8.158731277865613e-05
wt_braf	C3G_C3G	0.0	0.0	250	0.003125	1	13	CNR	wt,braf	5	0.02	8.158731277865613e-05
wt_braf	Rap1_C3G	0.0	0.0	250	0.003125	1	13	CNR	wt,braf	5	0.02	8.158731277865613e-05
